"Version","Modules","Error Correction","Data bits","Numeric","Alphanumeric","Binary"
1,"21x21","L",152,41,25,17
,,"M",128,34,20,14
,,"Q",104,27,16,11
,,"H",72,17,10,7
2,"25x25","L",272,77,47,32
,,"M",224,63,38,26
,,"Q",176,48,29,20
,,"H",128,34,20,14
3,"29x29","L",440,127,77,53
,,"M",352,101,61,42
,,"Q",272,77,47,32
,,"H",208,58,35,24
4,"33x33","L",640,187,114,78
,,"M",512,149,90,62
,,"Q",384,111,67,46
,,"H",288,82,50,34
5,"37x37","L",864,255,154,106
,,"M",688,202,122,84
,,"Q",496,144,87,60
,,"H",368,106,64,44
6,"41x41","L",1.088,322,195,134
,,"M",864,255,154,106
,,"Q",608,178,108,74
,,"H",480,139,84,58
7,"45x45","L",1.248,370,224,154
,,"M",992,293,178,122
,,"Q",704,207,125,86
,,"H",528,154,93,64
8,"49x49","L",1.552,461,279,192
,,"M",1.232,365,221,152
,,"Q",880,259,157,108
,,"H",688,202,122,84
9,"53x53","L",1.856,552,335,230
,,"M",1.456,432,262,180
,,"Q",1.056,312,189,130
,,"H",800,235,143,98
10,"57x57","L",2.192,652,395,271
,,"M",1.728,513,311,213
,,"Q",1.232,364,221,151
,,"H",976,288,174,119
11,"61x61","L",2.592,772,468,321
,,"M",2.032,604,366,251
,,"Q",1.44,427,259,177
,,"H",1.12,331,200,137
12,"65x65","L",2.96,883,535,367
,,"M",2.32,691,419,287
,,"Q",1.648,489,296,203
,,"H",1.264,374,227,155
13,"69x69","L",3424,1022,619,425
,,"M",2.672,796,483,331
,,"Q",1.952,580,352,241
,,"H",1.44,427,259,177
14,"73x73","L",3.688,1.101,667,458
,,"M",2.92,871,528,362
,,"Q",2.088,621,376,258
,,"H",1.576,468,283,194
15,"77x77","L",4.184,1.25,758,520
,,"M",3.32,991,600,412
,,"Q",2.36,703,426,292
,,"H",1.784,530,321,220
16,"81x81","L",4.712,1.408,854,586
,,"M",3.624,1.082,656,450
,,"Q",2.6,775,470,322
,,"H",2.024,602,365,250
17,"85x85","L",5.176,1.548,938,644
,,"M",4.056,1.212,734,504
,,"Q",2.936,876,531,364
,,"H",2.264,674,408,280
18,"89x89","L",5.768,1.725,1.046,718
,,"M",4.504,1.346,816,560
,,"Q",3.176,948,574,394
,,"H",2.504,746,452,310
19,"93x93","L",6.36,1.903,1.153,792
,,"M",5.016,1.5,909,624
,,"Q",3.56,1.063,644,442
,,"H",2.728,813,493,338
20,"97x97","L",6.888,2.061,1.249,858
,,"M",5.352,1.6,970,666
,,"Q",3.88,1.159,702,482
,,"H",3.08,919,557,382
21,"101x101","L",7.456,2.232,1.352,929
,,"M",5.712,1.708,1.035,711
,,"Q",4.096,1.224,742,509
,,"H",3.248,969,587,403
22,"105x105","L",8.048,2.409,1.46,1.003
,,"M",6.256,1.872,1.134,779
,,"Q",4.544,1.358,823,565
,,"H",3.536,1.056,640,439
23,"109x109","L",8.752,2.62,1.588,1.091
,,"M",6.88,2.059,1.248,857
,,"Q",4.912,1.468,890,611
,,"H",3.712,1.108,672,461
24,"113x113","L",9.392,2.812,1.704,1.171
,,"M",7.312,2.188,1.326,911
,,"Q",5.312,1.588,963,661
,,"H",4.112,1.228,744,511
25,"117x117","L",10.208,3.057,1.853,1.273
,,"M",8,2.395,1.451,997
,,"Q",5.744,1.718,1.041,715
,,"H",4.304,1.286,779,535
26,"121x121","L",10.96,3.283,1.99,1.367
,,"M",8.496,2.544,1.542,"1.,059"
,,"Q",6.032,1.804,1.094,751
,,"H",4.768,1.425,864,593
27,"125x125","L",11.744,3.514,2.132,1.465
,,"M",9.024,2.701,1.637,1125
,,"Q",6.464,1.933,1.172,805
,,"H",5.024,1.501,910,625
28,"129x129","L",12.248,3.669,2.223,1528
,,"M",9.544,2.857,1.732,1.19
,,"Q",6.968,2.085,1.263,868
,,"H",5.288,1.581,958,658
29,"133x133","L",13.048,3.909,2.369,1.628
,,"M",10.136,3.035,1.839,1.264
,,"Q",7.288,2.181,1.322,908
